Best,90th,Median,Worst
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3928,3930
3825,3828,3927,3930
3825,3828,3927,3930
3825,3828,3927,3930
3825,3828,3927,3930
3825,3828,3927,3930
3825,3828,3927,3930
3825,3828,3927,3930
3825,3828,3927,3930
3825,3828,3927,3930
3825,3828,3928,3930
3825,3828,3927,3930
3825,3828,3928,3930
3825,3828,3928,4027
3825,3828,3928,4027
3825,3828,3928,4027
3825,3828,3928,4027
3825,3828,3928,4027
3825,3828,3928,4027
3825,3828,3928,4027
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3828,3928,4032
3825,3827,3927,3928
3825,3827,3927,3928
3825,3827,3927,3928
3825,3827,3927,3928
3825,3827,3927,3928
3825,3827,3927,3928
3825,3827,3927,3928
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3828,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
3825,3827,3927,4028
